T,t
22.0,0
23.0,47.89
24.0,29.95
25.0,27.90
26.0,30.23
27.0,32.01
28.0,34.83
29.0,32.55
30.0,35.58
31.0,34.74
32.0,30.14
33.0,34.78
34.0,44.99
35.0,34.76
36.0,39.69
37.0,39.89
38.0,36.99
39.0,41.23
40.0,42.60
41.0,44.78
42.0,42.20
43.0,56.50
44.0,56.23
45.0,49.90
46.0,63.05
47.0,59.17
48.0,71.91
49.0,65.16
50.0,89.21
51.0,84.76
52.0,93.73
53.0,108.62
