T,t
22.0,0
23.0,86.45
24.0,39.95
25.0,29.36
26.0,28.21
27.0,23.33
28.0,24.79
29.0,21.66
30.0,23.61
31.0,22.88
32.0,18.35
33.0,23.50
34.0,21.24
35.0,23.21
36.0,23.35
37.0,26.85
38.0,22.87
39.0,25.21
40.0,26.79
41.0,28.16
42.0,30.00
43.0,31.38
44.0,28.64
45.0,39.17
46.0,35.02
47.0,36.65
48.0,44.83
49.0,46.53
50.0,48.27
51.0,50.97
52.0,61.81
53.0,61.07
54.0,74.91
55.0,91.30

